MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
The Hitman's Bodyguard,,"Action, Comedy, Crime",6.9,"
The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","Director:
Patrick Hughes
| 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung",,118.0,
Jurassic Park,,"Action, Adventure, Sci-Fi",8.1,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough",,127.0,
Don't Breathe,,"Crime, Horror, Thriller",7.1,"
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","Director:
Fede Alvarez
| 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto",,88.0,
The Lord of the Rings: The Fellowship of the Ring,,"Action, Adventure, Drama",8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean",,178.0,
Escape Room,,"Action, Adventure, Horror",6.4,"
Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.","Director:
Adam Robitel
| 
    Stars:
Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine",,99.0,
Jaws,,"Adventure, Thriller",8.0,"
When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary",,124.0,
The Departed,,"Crime, Drama, Thriller",8.5,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg",,151.0,
Gone Girl,,"Drama, Mystery, Thriller",8.1,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry",,149.0,
Jumanji: Welcome to the Jungle,,"Action, Adventure, Comedy",6.9,"
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black",,119.0,
American Psycho,,"Comedy, Crime, Drama",7.6,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Director:
Mary Harron
| 
    Stars:
Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage",,101.0,
Kill Bill: Vol. 1,,"Action, Crime, Drama",8.1,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen",,111.0,
300,,"Action, Drama",7.6,"
King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.","Director:
Zack Snyder
| 
    Stars:
Gerard Butler, 
Lena Headey, 
David Wenham, 
Dominic West",,117.0,
It,,Horror,7.3,"
In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","Director:
Andy Muschietti
| 
    Stars:
Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis",,135.0,
Spider-Man: Far from Home,,"Action, Adventure, Sci-Fi",7.5,"
Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","Director:
Jon Watts
| 
    Stars:
Tom Holland, 
Samuel L. Jackson, 
Jake Gyllenhaal, 
Marisa Tomei",,129.0,
The Hobbit: An Unexpected Journey,,"Adventure, Fantasy",7.8,"
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","Director:
Peter Jackson
| 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis",,169.0,
Clueless,,"Comedy, Romance",6.8,"
Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","Director:
Amy Heckerling
| 
    Stars:
Alicia Silverstone, 
Stacey Dash, 
Brittany Murphy, 
Paul Rudd",,97.0,
Baywatch,,"Action, Comedy, Crime",5.5,"
Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","Director:
Seth Gordon
| 
    Stars:
Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas",,116.0,
Fast & Furious 7,,"Action, Adventure, Thriller",7.1,"
Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.","Director:
James Wan
| 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham",,137.0,
Sicario,,"Action, Crime, Drama",7.6,"
An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.","Director:
Denis Villeneuve
| 
    Stars:
Emily Blunt, 
Josh Brolin, 
Benicio Del Toro, 
Jon Bernthal",,121.0,
